Geographic code;Geographic name;Geographic Type;Geographic Name, province or territory;Geographic Code, province or territory;Geographic code, census division;Geographic code, census metropolitan area or census agglomeration;Global non-response rate;Data quality flag;Age;Sex;Total population;Period of immigration - Non-immigrants (2016 counts);Period of immigration - Immigrants (2016 counts);Period of immigration - Before 2001 (2016 counts);Period of immigration - 2001 to 2005 (2016 counts);Period of immigration - 2006 to 2010 (2016 counts);Period of immigration - 2011 to 2016 (2016 counts);Period of immigration - Non-permanent residents (2016 counts);Total population (% distribution 2016);Period of immigration - Non-immigrants (% distribution 2016);Period of immigration - Immigrants (% distribution 2016);Period of immigration - Before 2001 (% distribution 2016);Period of immigration - 2001 to 2005 (% distribution 2016);Period of immigration - 2006 to 2010 (% distribution 2016);Period of immigration - 2011 to 2016 (% distribution 2016);Period of immigration - Non-permanent residents (% distribution 2016)
1102075;Charlottetown;City;Prince Edward Island;11;2;105;4.7;0;35 to 44;Male;1790;1415;340;50;25;50;215;30;100;79.1;19;2.8;1.4;2.8;12;1.7
1102075;Charlottetown;City;Prince Edward Island;11;2;105;4.7;0;15 to 24;Female;2430;2040;245;20;10;75;150;140;100;84;10.1;0.8;0.4;3.1;6.2;5.8
1102075;Charlottetown;City;Prince Edward Island;11;2;105;4.7;0;55 to 64;Female;2700;2450;240;155;20;25;40;15;100;90.7;8.9;5.7;0.7;0.9;1.5;0.6
1102075;Charlottetown;City;Prince Edward Island;11;2;105;4.7;0;25 to 34;Female;2465;2065;280;35;20;60;170;125;100;83.8;11.4;1.4;0.8;2.4;6.9;5.1
1102075;Charlottetown;City;Prince Edward Island;11;2;105;4.7;0;45 to 54;Female;2470;2120;340;80;25;110;125;10;100;85.8;13.8;3.2;1;4.5;5.1;0.4
1102075;Charlottetown;City;Prince Edward Island;11;2;105;4.7;0;35 to 44;Female;2250;1665;560;55;25;100;375;25;100;74;24.9;2.4;1.1;4.4;16.7;1.1
1102075;Charlottetown;City;Prince Edward Island;11;2;105;4.7;0;65 to 74;Female;2010;1845;160;155;0;0;10;0;100;91.8;8;7.7;0;0;0.5;0
1102075;Charlottetown;City;Prince Edward Island;11;2;105;4.7;0;75 years and over;Male;960;870;85;80;0;0;0;0;100;90.6;8.9;8.3;0;0;0;0
1102075;Charlottetown;City;Prince Edward Island;11;2;105;4.7;0;75 years and over;Female;1590;1455;130;130;0;0;0;0;100;91.5;8.2;8.2;0;0;0;0
1102080;Stratford;Town;Prince Edward Island;11;2;105;3.2;0;75 years and over;Male;195;175;15;15;0;0;0;0;100;89.7;7.7;7.7;0;0;0;0
1102080;Stratford;Town;Prince Edward Island;11;2;105;3.2;0;75 years and over;Female;280;245;35;35;0;0;0;0;100;87.5;12.5;12.5;0;0;0;0
1102080;Stratford;Town;Prince Edward Island;11;2;105;3.2;0;0 to 14;Male;985;865;110;0;0;10;95;10;100;87.8;11.2;0;0;1;9.6;1
1102080;Stratford;Town;Prince Edward Island;11;2;105;3.2;0;65 to 74;Male;540;515;25;25;0;0;0;0;100;95.4;4.6;4.6;0;0;0;0
1102080;Stratford;Town;Prince Edward Island;11;2;105;3.2;0;15 to 24;Male;540;475;35;0;0;10;20;30;100;88;6.5;0;0;1.9;3.7;5.6
1102080;Stratford;Town;Prince Edward Island;11;2;105;3.2;0;25 to 34;Male;565;530;30;0;10;10;20;0;100;93.8;5.3;0;1.8;1.8;3.5;0
1102080;Stratford;Town;Prince Edward Island;11;2;105;3.2;0;55 to 64;Male;570;520;40;20;0;10;10;10;100;91.2;7;3.5;0;1.8;1.8;1.8
1102080;Stratford;Town;Prince Edward Island;11;2;105;3.2;0;0 to 14;Female;855;785;60;0;0;15;45;10;100;91.8;7;0;0;1.8;5.3;1.2
1102080;Stratford;Town;Prince Edward Island;11;2;105;3.2;0;45 to 54;Male;605;540;65;30;0;0;30;0;100;89.3;10.7;5;0;0;5;0
1102080;Stratford;Town;Prince Edward Island;11;2;105;3.2;0;35 to 44;Male;665;530;130;25;0;20;85;0;100;79.7;19.5;3.8;0;3;12.8;0
